tier,task,episode,model,status,reason,oracle_label,naive_reward,hardened_v1_recorded,hardened_v1_pass,hardened_v2_pass,v1_FP,v2_FP,v1_FP_vs_full,v2_FP_vs_full,v1_FN,v2_FN,v1_v2_disagree,contract_only_rejection,v2_vs_oracle_disagree,v1_failed,v2_failed
M,m1_attention_regression,0,deepseek-v4-flash,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
M,m1_attention_regression,1,deepseek-v4-flash,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
M,m1_attention_regression,2,deepseek-v4-flash,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
M,m1_attention_regression,3,deepseek-v4-flash,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
M,m2_position_encoding,0,deepseek-v4-flash,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
M,m2_position_encoding,1,deepseek-v4-flash,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
M,m2_position_encoding,2,deepseek-v4-flash,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
M,m2_position_encoding,3,deepseek-v4-flash,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
M,m3_gradient_lifecycle,0,deepseek-v4-flash,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
M,m3_gradient_lifecycle,1,deepseek-v4-flash,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
M,m3_gradient_lifecycle,2,deepseek-v4-flash,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
M,m3_gradient_lifecycle,3,deepseek-v4-flash,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
M,m4_schedule_accumulation,0,deepseek-v4-flash,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
M,m4_schedule_accumulation,1,deepseek-v4-flash,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
M,m4_schedule_accumulation,2,deepseek-v4-flash,REPLAYED,,PARTIAL_FIX,1.0,0.0,False,False,False,False,False,False,False,False,False,False,False,repo_lr_schedule_matches_gold,repo_lr_schedule_matches_gold
M,m4_schedule_accumulation,3,deepseek-v4-flash,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
M,m5_masking_interaction,0,deepseek-v4-flash,REPLAYED,,PARTIAL_FIX,1.0,0.0,False,False,False,False,False,False,False,False,False,False,False,repo_supervised_token_count,repo_supervised_token_count
M,m5_masking_interaction,1,deepseek-v4-flash,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
M,m5_masking_interaction,2,deepseek-v4-flash,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
M,m5_masking_interaction,3,deepseek-v4-flash,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
H,h1_attention_double_defect,0,deepseek-v4-flash,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
H,h1_attention_double_defect,1,deepseek-v4-flash,REPLAYED,,WRONG,1.0,0.0,False,False,False,False,False,False,False,False,False,False,False,repo_strict_causality;repo_padding_keys_masked;repo_matches_gold_logits,repo_strict_causality;repo_padding_keys_masked;repo_matches_gold_logits
H,h1_attention_double_defect,2,deepseek-v4-flash,REPLAYED,,WRONG,1.0,0.0,False,False,False,False,False,False,False,False,False,False,False,repo_strict_causality;repo_padding_keys_masked;repo_matches_gold_logits,repo_strict_causality;repo_padding_keys_masked;repo_matches_gold_logits
H,h1_attention_double_defect,3,deepseek-v4-flash,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
H,h2_position_double_defect,0,deepseek-v4-flash,REPLAYED,,WRONG,1.0,0.0,False,False,False,False,False,False,False,False,False,False,False,repo_matches_gold_logits,repo_matches_gold_logits
