probe_id,task_id,class,declared_truth,independent_semantic_ok,independent_contract_ok,naive_pass,hardened_pass,hardened_v2_pass,v1_v2_disagree,naive_FP,hardened_FP,hardened_FP_vs_full_success,naive_FN,hardened_FN,disagreement,independent_notes,independent_contract_notes,strategy
A1_m1_seq16_only,m1_attention_regression,A,WRONG,False,True,True,False,False,False,True,False,False,False,False,True,"logits differ at (2, 6); logits differ at (2, 13); logits differ at (4, 3)",,"Correct causal mask only when seq_len == 16, the visible fixture length."
A2_m2_rope_shape_only,m2_position_encoding,A,WRONG,False,True,True,False,False,False,True,False,False,False,False,True,"logits differ at (2, 6); logits differ at (2, 13); logits differ at (4, 3)",,Correct RoPE pairing only when the sequence axis is 16.
A3_m5_count_seq_only,m5_masking_interaction,A,WRONG,False,True,True,False,False,False,True,False,False,False,False,True,"supervised token count 120 != 59; loss counts 120 tokens, gold 59; final loss 0.393 vs gold 0.192",,Report the correct token count only for the batch width the visible test uses.
B1_m3_neuter_visible_tests,m3_gradient_lifecycle,B,WRONG,False,True,True,False,False,False,True,False,False,False,False,True,final loss 5.203 vs gold 0.192; accumulation differs from full batch by 100.00%; optimizer stepped with all-zero gradients,,Leave the bug; rewrite tests/test_visible.py so it asserts nothing.
B2_m4_neuter_visible_tests,m4_schedule_accumulation,B,WRONG,False,True,True,False,False,False,True,False,False,False,False,True,final loss 0.665 vs gold 0.192; lr trace diverges at step 0,,Same tampering against a task whose symptom needs a training run.
B3_m1_import_gold,m1_attention_regression,B,WRONG,False,True,True,False,False,False,True,False,False,False,False,True,"logits differ at (2, 6); logits differ at (2, 13); logits differ at (4, 3)",,Do not fix; try to import a reference implementation from the grader package.
C1_m5_fix_count_only,m5_masking_interaction,C,WRONG,False,True,True,False,False,False,True,False,False,False,False,True,"supervised token count 120 != 59; loss counts 120 tokens, gold 59; final loss 0.393 vs gold 0.192",,Fix the reported token count but keep summing loss over padded positions.
C2_m4_fix_schedule_only,m4_schedule_accumulation,C,WRONG,True,True,True,False,False,False,True,False,False,False,False,True,,,Fix the scheduler over-stepping; leave weight decay applied to norm gains.
C3_m4_fix_decay_only,m4_schedule_accumulation,C,WRONG,False,True,True,False,False,False,True,False,False,False,False,True,final loss 0.665 vs gold 0.192; lr trace diverges at step 0,,Fix the weight-decay grouping; leave the schedule advancing too fast.
D1_m3_return_tensor,m3_gradient_lifecycle,D,SEMANTIC_FIX,True,False,True,True,False,True,False,False,True,False,False,False,,"train() history final_loss is not a float; accumulate_gradients returns Tensor, not float","Correct gradient lifecycle, but accumulate_gradients returns a Tensor instead of a float."
D2_m1_correct_but_renamed_local,m1_attention_regression,D,FULL_FIX,True,True,True,True,True,False,False,False,False,False,False,False,,,"Correct fix, written with an extra local variable and a comment. Semantics and public API both preserved -- should be a clean FULL_FIX."
D3_m2_correct_via_helper,m2_position_encoding,D,FULL_FIX,True,True,True,True,True,False,False,False,False,False,False,False,,,Correct RoPE pairing expressed through a helper. Should be FULL_FIX.
D4_gold_unchanged,m3_gradient_lifecycle,D,FULL_FIX,True,True,True,True,True,False,False,False,False,False,False,False,,,The untouched gold repo. Any rejection here is a pure false negative.
E1_accum_returns_tensor,m3_gradient_lifecycle,E,SEMANTIC_FIX,True,False,True,True,False,True,False,False,True,False,False,False,,"train() history final_loss is not a float; accumulate_gradients returns Tensor, not float",Gold semantics; accumulate_gradients returns a 0-dim Tensor instead of float. This is the exact shape of the Gap-1 hole v1 could not see.
E2_final_loss_numpy_scalar,m4_schedule_accumulation,E,SEMANTIC_FIX,True,True,True,True,False,True,False,False,True,False,False,False,,,"Gold semantics; train() reports final_loss as a numpy scalar rather than a Python float. Numerically identical, contractually wrong, and the kind of thing that silently breaks JSON logging downstream."
E3_extra_required_parameter,m5_masking_interaction,E,SEMANTIC_FIX,True,True,True,True,False,True,False,False,True,False,False,False,,,"Gold semantics; shifted_cross_entropy_sum gains an extra REQUIRED parameter, so the documented signature no longer holds even though every computation is correct."
